,ID,Tuổi,Giới tính,Ngành nghề,Tình trạng hôn nhân
112,113,25,Nữ,Nhân viên văn phòng,Độc thân
113,114,18,Nam,Kinh doanh,Khác
114,115,29,Nam,Thất nghiệp,Độc thân
115,116,25,Nam,Công chức,Độc thân
116,117,25,Nữ,Công nhân,Khác
117,118,28,Nữ,Công việc tự do,Khác
118,119,20,Nữ,Thất nghiệp,Độc thân
119,120,18,Nữ,Công chức,Độc thân
120,121,25,Nam,Công nhân,Độc thân
121,122,20,Nữ,Công chức,Đã kết hôn
122,123,20,Nữ,Thất nghiệp,Đã kết hôn
123,124,18,Nữ,Sinh viên,Độc thân
124,125,28,Nam,Công nhân,Đã kết hôn
125,126,22,Nữ,Công nhân,Đã kết hôn
126,127,27,Nữ,Công chức,Độc thân
127,128,24,Nam,Nhân viên văn phòng,Đã kết hôn
128,129,27,Nam,Thất nghiệp,Độc thân
129,130,26,Nam,Nhân viên văn phòng,Độc thân
130,131,29,Nam,Kinh doanh,Độc thân
131,132,24,Nữ,Sinh viên,Đã kết hôn
132,133,26,Nam,Nhân viên văn phòng,Độc thân
133,134,25,Nữ,Công chức,Độc thân
134,135,29,Nữ,Thất nghiệp,Đã kết hôn
135,136,19,Nữ,Nhân viên văn phòng,Độc thân
136,137,18,Nữ,Kinh doanh,Đã kết hôn
137,138,24,Nữ,Công việc tự do,Độc thân
138,139,24,Nam,Kinh doanh,Độc thân
139,140,25,Nữ,Công nhân,Độc thân
140,141,22,Nữ,Thất nghiệp,Đã kết hôn
141,142,20,Nữ,Công nhân,Độc thân
142,143,29,Nam,Nhân viên văn phòng,Độc thân
143,144,25,Nữ,Nhân viên văn phòng,Đã kết hôn
144,145,23,Nữ,Kinh doanh,Độc thân
145,146,28,Nam,Kinh doanh,Khác
146,147,20,Nữ,Công chức,Đã kết hôn
147,148,18,Nữ,Sinh viên,Độc thân
148,149,20,Nam,Công chức,Độc thân
149,150,22,Nữ,Công nhân,Độc thân
150,151,20,Nữ,Công chức,Độc thân
151,152,18,Nữ,Kinh doanh,Đã kết hôn
152,153,22,Nữ,Thất nghiệp,Khác
153,154,27,Nữ,Công chức,Độc thân
154,155,24,Nam,Công việc tự do,Độc thân
155,156,24,Nam,Sinh viên,Độc thân
156,157,28,Nam,Kinh doanh,Độc thân
157,158,26,Nữ,Thất nghiệp,Độc thân
158,159,27,Nữ,Nhân viên văn phòng,Độc thân
159,160,27,Nữ,Công chức,Độc thân
160,161,29,Nam,Kinh doanh,Độc thân
161,162,30,Nữ,Nhân viên văn phòng,Đã kết hôn
162,163,20,Nữ,Nhân viên văn phòng,Độc thân
163,164,24,Nữ,Công nhân,Đã kết hôn
164,165,18,Nam,Công nhân,Độc thân
165,166,21,Nam,Thất nghiệp,Đã kết hôn
166,167,30,Nữ,Kinh doanh,Độc thân
167,168,21,Nữ,Thất nghiệp,Đã kết hôn
168,169,22,Nữ,Kinh doanh,Đã kết hôn
169,170,24,Nam,Công việc tự do,Độc thân
170,171,24,Nam,Sinh viên,Độc thân
171,172,30,Nam,Sinh viên,Đã kết hôn
172,173,28,Nữ,Kinh doanh,Đã kết hôn
173,174,30,Nam,Công nhân,Đã kết hôn
174,175,21,Nữ,Công chức,Đã kết hôn
175,176,30,Nữ,Thất nghiệp,Độc thân
176,177,24,Nam,Công việc tự do,Độc thân
177,178,28,Nữ,Sinh viên,Độc thân
178,179,20,Nam,Kinh doanh,Khác
179,180,23,Nữ,Công nhân,Độc thân
180,181,29,Nữ,Công nhân,Độc thân
181,182,19,Nam,Công nhân,Đã kết hôn
182,183,27,Nữ,Thất nghiệp,Đã kết hôn
183,184,30,Nữ,Công chức,Độc thân
184,185,26,Nữ,Nhân viên văn phòng,Độc thân
185,186,22,Nữ,Thất nghiệp,Độc thân
186,187,23,Nữ,Công chức,Độc thân
187,188,29,Nữ,Công nhân,Đã kết hôn
188,189,29,Nữ,Kinh doanh,Độc thân
189,190,29,Nữ,Công việc tự do,Đã kết hôn
190,191,29,Nam,Công chức,Đã kết hôn
191,192,21,Nam,Kinh doanh,Độc thân
192,193,28,Nữ,Thất nghiệp,Độc thân
193,194,27,Nữ,Thất nghiệp,Độc thân
194,195,24,Nam,Công nhân,Độc thân
195,196,29,Nữ,Công việc tự do,Độc thân
196,197,26,Nam,Sinh viên,Đã kết hôn
197,198,24,Nam,Sinh viên,Độc thân
198,199,18,Nam,Thất nghiệp,Đã kết hôn
199,200,18,Nữ,Kinh doanh,Độc thân
200,201,26,Nữ,Công việc tự do,Độc thân
201,202,28,Nữ,Kinh doanh,Khác
202,203,26,Nam,Công việc tự do,Độc thân
203,204,21,Nam,Công việc tự do,Độc thân
204,205,30,Nam,Thất nghiệp,Độc thân
205,206,26,Nữ,Kinh doanh,Độc thân
206,207,20,Nam,Thất nghiệp,Đã kết hôn
207,208,24,Nam,Công việc tự do,Độc thân
208,209,23,Nữ,Công chức,Độc thân
209,210,25,Nam,Công nhân,Độc thân
210,211,28,Nam,Công việc tự do,Đã kết hôn
211,212,26,Nữ,Công chức,Độc thân
212,213,22,Nữ,Công việc tự do,Độc thân
213,214,18,Nam,Công chức,Độc thân
214,215,20,Nữ,Kinh doanh,Độc thân
215,216,27,Nam,Sinh viên,Độc thân
216,217,29,Nữ,Nhân viên văn phòng,Độc thân
217,218,25,Nam,Công việc tự do,Độc thân
218,219,28,Nữ,Nhân viên văn phòng,Độc thân
219,220,23,Nam,Công việc tự do,Độc thân
220,221,25,Nữ,Kinh doanh,Đã kết hôn
221,222,26,Nữ,Kinh doanh,Đã kết hôn
222,223,21,Nữ,Công chức,Độc thân
223,224,18,Nữ,Công việc tự do,Độc thân
224,225,18,Nữ,Kinh doanh,Độc thân
225,226,27,Nữ,Kinh doanh,Đã kết hôn
226,227,21,Nữ,Công việc tự do,Độc thân
227,228,29,Nam,Công chức,Đã kết hôn
228,229,24,Nam,Công chức,Độc thân
229,230,19,Nữ,Công chức,Độc thân
230,231,20,Nữ,Công chức,Khác
231,232,18,Nam,Sinh viên,Đã kết hôn
232,233,22,Nam,Công việc tự do,Đã kết hôn
233,234,18,Nữ,Thất nghiệp,Độc thân
234,235,25,Nam,Sinh viên,Độc thân
235,236,18,Nam,Kinh doanh,Độc thân
236,237,28,Nữ,Sinh viên,Độc thân
237,238,18,Nữ,Thất nghiệp,Độc thân
238,239,19,Nữ,Thất nghiệp,Độc thân
239,240,19,Nam,Thất nghiệp,Độc thân
240,241,29,Nữ,Công chức,Độc thân
241,242,23,Nữ,Kinh doanh,Đã kết hôn
242,243,24,Nam,Sinh viên,Đã kết hôn
243,244,22,Nữ,Sinh viên,Độc thân
244,245,18,Nam,Công việc tự do,Độc thân
245,246,18,Nam,Sinh viên,Độc thân
246,247,20,Nam,Kinh doanh,Đã kết hôn
247,248,19,Nam,Công chức,Độc thân
248,249,22,Nam,Công việc tự do,Đã kết hôn
249,250,29,Nam,Sinh viên,Đã kết hôn
250,251,27,Nữ,Công việc tự do,Độc thân
251,252,23,Nữ,Nhân viên văn phòng,Độc thân
252,253,24,Nữ,Công việc tự do,Khác
253,254,21,Nam,Thất nghiệp,Độc thân
254,255,24,Nữ,Công chức,Độc thân
255,256,28,Nam,Thất nghiệp,Khác
256,257,25,Nữ,Nhân viên văn phòng,Độc thân
257,258,28,Nam,Thất nghiệp,Đã kết hôn
258,259,18,Nữ,Nhân viên văn phòng,Đã kết hôn
259,260,23,Nam,Công việc tự do,Đã kết hôn
260,261,25,Nữ,Kinh doanh,Độc thân
261,262,22,Nam,Công chức,Độc thân
262,263,21,Nữ,Kinh doanh,Độc thân
263,264,19,Nam,Công chức,Đã kết hôn
264,265,23,Nữ,Công chức,Đã kết hôn
265,266,23,Nữ,Thất nghiệp,Độc thân
266,267,28,Nữ,Thất nghiệp,Độc thân
267,268,18,Nam,Kinh doanh,Độc thân
268,269,26,Nam,Công nhân,Đã kết hôn
269,270,29,Nam,Nhân viên văn phòng,Đã kết hôn
270,271,28,Nam,Thất nghiệp,Đã kết hôn
271,272,23,Nam,Thất nghiệp,Đã kết hôn
272,273,30,Nữ,Thất nghiệp,Đã kết hôn
273,274,20,Nam,Công việc tự do,Đã kết hôn
274,275,21,Nữ,Kinh doanh,Độc thân
275,276,29,Nữ,Kinh doanh,Độc thân
276,277,28,Nam,Thất nghiệp,Đã kết hôn
277,278,21,Nữ,Công việc tự do,Độc thân
278,279,20,Nam,Thất nghiệp,Độc thân
279,280,27,Nam,Nhân viên văn phòng,Độc thân
280,281,20,Nam,Công việc tự do,Độc thân
281,282,20,Nữ,Thất nghiệp,Độc thân
282,283,21,Nam,Công chức,Độc thân
283,284,24,Nam,Công nhân,Độc thân
284,285,21,Nam,Công chức,Độc thân
285,286,26,Nữ,Công nhân,Độc thân
286,287,18,Nam,Công việc tự do,Đã kết hôn
287,288,25,Nữ,Công chức,Độc thân
288,289,24,Nữ,Nhân viên văn phòng,Độc thân
289,290,19,Nam,Công chức,Độc thân
290,291,25,Nữ,Kinh doanh,Độc thân
291,292,18,Nữ,Công nhân,Độc thân
292,293,28,Nam,Công nhân,Đã kết hôn
293,294,29,Nam,Thất nghiệp,Đã kết hôn
294,295,26,Nam,Nhân viên văn phòng,Độc thân
295,296,26,Nữ,Công nhân,Độc thân
296,297,19,Nam,Công nhân,Độc thân
297,298,24,Nữ,Thất nghiệp,Khác
298,299,27,Nữ,Nhân viên văn phòng,Khác
299,300,20,Nữ,Công chức,Độc thân
300,301,24,Nữ,Công việc tự do,Độc thân
301,302,29,Nữ,Công chức,Đã kết hôn
302,303,27,Nam,Kinh doanh,Đã kết hôn
303,304,26,Nam,Kinh doanh,Độc thân
304,305,21,Nữ,Công nhân,Khác
305,306,29,Nữ,Kinh doanh,Độc thân
306,307,18,Nam,Công việc tự do,Độc thân
307,308,19,Nam,Công nhân,Đã kết hôn
308,309,18,Nữ,Thất nghiệp,Độc thân
309,310,29,Nữ,Kinh doanh,Đã kết hôn
310,311,22,Nam,Thất nghiệp,Độc thân
311,312,22,Nam,Sinh viên,Độc thân
312,313,28,Nữ,Sinh viên,Độc thân
313,314,24,Nam,Sinh viên,Độc thân
314,315,26,Nam,Thất nghiệp,Độc thân
315,316,26,Nữ,Sinh viên,Khác
316,317,20,Nữ,Công chức,Độc thân
317,318,20,Nữ,Sinh viên,Đã kết hôn
318,319,20,Nam,Công nhân,Độc thân
319,320,21,Nữ,Nhân viên văn phòng,Đã kết hôn
320,321,25,Nam,Công chức,Độc thân
321,322,23,Nữ,Nhân viên văn phòng,Độc thân
322,323,25,Nữ,Công nhân,Độc thân
323,324,18,Nam,Công nhân,Độc thân
324,325,25,Nam,Công việc tự do,Độc thân
325,326,21,Nữ,Công chức,Độc thân
326,327,28,Nữ,Nhân viên văn phòng,Đã kết hôn
327,328,18,Nam,Sinh viên,Đã kết hôn
328,329,25,Nữ,Công nhân,Khác
329,330,21,Nam,Sinh viên,Độc thân
330,331,23,Nam,Nhân viên văn phòng,Khác
331,332,25,Nữ,Thất nghiệp,Đã kết hôn
332,333,21,Nam,Công chức,Độc thân
333,334,20,Nam,Kinh doanh,Độc thân
334,335,26,Nam,Thất nghiệp,Độc thân
335,336,20,Nữ,Thất nghiệp,Độc thân
336,337,26,Nam,Kinh doanh,Độc thân
337,338,30,Nữ,Công nhân,Độc thân
338,339,19,Nữ,Công việc tự do,Đã kết hôn
339,340,19,Nữ,Sinh viên,Độc thân
340,341,19,Nam,Công nhân,Độc thân
341,342,23,Nam,Công việc tự do,Đã kết hôn
342,343,20,Nữ,Sinh viên,Đã kết hôn
343,344,30,Nữ,Nhân viên văn phòng,Khác
344,345,26,Nam,Thất nghiệp,Độc thân
345,346,21,Nữ,Thất nghiệp,Độc thân
346,347,18,Nữ,Kinh doanh,Độc thân
347,348,21,Nam,Công việc tự do,Độc thân
348,349,18,Nữ,Sinh viên,Độc thân
349,350,22,Nam,Công nhân,Độc thân
350,351,21,Nam,Sinh viên,Khác
351,352,25,Nữ,Công nhân,Độc thân
352,353,25,Nam,Thất nghiệp,Độc thân
353,354,24,Nam,Kinh doanh,Độc thân
354,355,20,Nam,Kinh doanh,Đã kết hôn
355,356,18,Nữ,Sinh viên,Độc thân
356,357,18,Nữ,Sinh viên,Độc thân
357,358,29,Nữ,Công nhân,Độc thân
358,359,28,Nam,Công nhân,Độc thân
359,360,20,Nam,Công việc tự do,Độc thân
360,361,23,Nữ,Thất nghiệp,Độc thân
361,362,24,Nữ,Công việc tự do,Độc thân
362,363,23,Nam,Công việc tự do,Đã kết hôn
363,364,23,Nữ,Sinh viên,Độc thân
364,365,23,Nữ,Công chức,Đã kết hôn
365,366,30,Nữ,Công chức,Độc thân
366,367,20,Nữ,Công chức,Độc thân
367,368,23,Nữ,Công chức,Độc thân
368,369,25,Nam,Công việc tự do,Độc thân
369,370,28,Nữ,Sinh viên,Độc thân
370,371,28,Nữ,Công chức,Độc thân
371,372,19,Nam,Kinh doanh,Đã kết hôn
372,373,22,Nam,Nhân viên văn phòng,Đã kết hôn
373,374,18,Nam,Kinh doanh,Đã kết hôn
374,375,29,Nam,Sinh viên,Độc thân
375,376,18,Nữ,Sinh viên,Độc thân
376,377,22,Nữ,Nhân viên văn phòng,Độc thân
377,378,29,Nữ,Công nhân,Độc thân
378,379,30,Nữ,Công nhân,Độc thân
379,380,20,Nam,Công nhân,Độc thân
380,381,21,Nam,Công việc tự do,Đã kết hôn
381,382,20,Nữ,Công nhân,Độc thân
382,383,18,Nữ,Thất nghiệp,Độc thân
383,384,18,Nữ,Công việc tự do,Độc thân
384,385,29,Nữ,Công việc tự do,Độc thân
385,386,29,Nam,Công nhân,Đã kết hôn
386,387,30,Nữ,Công nhân,Độc thân
387,388,22,Nam,Nhân viên văn phòng,Khác
388,389,23,Nam,Công chức,Độc thân
389,390,20,Nam,Nhân viên văn phòng,Độc thân
390,391,29,Nam,Công việc tự do,Đã kết hôn
391,392,26,Nữ,Nhân viên văn phòng,Độc thân
392,393,22,Nữ,Công việc tự do,Độc thân
393,394,25,Nữ,Sinh viên,Độc thân
394,395,30,Nữ,Công việc tự do,Độc thân
395,396,18,Nam,Công việc tự do,Đã kết hôn
396,397,22,Nam,Nhân viên văn phòng,Đã kết hôn
397,398,20,Nam,Công chức,Đã kết hôn
398,399,29,Nữ,Sinh viên,Độc thân
399,400,18,Nam,Kinh doanh,Độc thân
400,401,21,Nam,Kinh doanh,Độc thân
401,402,30,Nam,Công chức,Đã kết hôn
402,403,22,Nam,Kinh doanh,Khác
403,404,24,Nữ,Sinh viên,Độc thân
404,405,18,Nam,Công nhân,Độc thân
405,406,20,Nam,Sinh viên,Độc thân
406,407,19,Nữ,Nhân viên văn phòng,Độc thân
407,408,26,Nữ,Thất nghiệp,Độc thân
408,409,27,Nữ,Công việc tự do,Độc thân
409,410,23,Nam,Công việc tự do,Độc thân
410,411,27,Nam,Nhân viên văn phòng,Đã kết hôn
411,412,20,Nam,Nhân viên văn phòng,Đã kết hôn
412,413,25,Nam,Thất nghiệp,Khác
413,414,25,Nữ,Thất nghiệp,Độc thân
414,415,19,Nam,Công việc tự do,Độc thân
415,416,23,Nam,Thất nghiệp,Độc thân
416,417,24,Nữ,Thất nghiệp,Độc thân
417,418,19,Nữ,Thất nghiệp,Độc thân
418,419,28,Nữ,Công chức,Đã kết hôn
419,420,27,Nam,Công nhân,Độc thân
420,421,19,Nam,Thất nghiệp,Khác
421,422,27,Nam,Công nhân,Đã kết hôn
422,423,18,Nam,Công nhân,Đã kết hôn
423,424,25,Nam,Nhân viên văn phòng,Đã kết hôn
424,425,18,Nữ,Thất nghiệp,Độc thân
425,426,26,Nữ,Công việc tự do,Đã kết hôn
426,427,28,Nam,Công chức,Độc thân
427,428,23,Nam,Công việc tự do,Đã kết hôn
428,429,24,Nam,Thất nghiệp,Độc thân
429,430,30,Nam,Công việc tự do,Độc thân
430,431,27,Nam,Thất nghiệp,Độc thân
431,432,24,Nữ,Công chức,Độc thân
432,433,27,Nữ,Sinh viên,Độc thân
433,434,20,Nữ,Công chức,Độc thân
434,435,19,Nam,Sinh viên,Đã kết hôn
435,436,26,Nam,Kinh doanh,Độc thân
436,437,25,Nữ,Sinh viên,Độc thân
437,438,30,Nữ,Công nhân,Độc thân
438,439,29,Nam,Công nhân,Độc thân
439,440,27,Nữ,Công chức,Độc thân
440,441,24,Nữ,Công nhân,Đã kết hôn
441,442,26,Nam,Công nhân,Độc thân
442,443,21,Nữ,Kinh doanh,Độc thân
443,444,30,Nữ,Công nhân,Độc thân
444,445,21,Nữ,Nhân viên văn phòng,Độc thân
445,446,18,Nam,Nhân viên văn phòng,Độc thân
446,447,25,Nữ,Nhân viên văn phòng,Đã kết hôn
447,448,29,Nữ,Sinh viên,Độc thân
448,449,20,Nữ,Công chức,Độc thân
449,450,24,Nam,Công chức,Độc thân
450,451,29,Nam,Công việc tự do,Độc thân
451,452,19,Nữ,Kinh doanh,Đã kết hôn
452,453,19,Nam,Nhân viên văn phòng,Độc thân
453,454,24,Nữ,Nhân viên văn phòng,Độc thân
454,455,23,Nam,Công nhân,Đã kết hôn
455,456,20,Nam,Nhân viên văn phòng,Độc thân
456,457,26,Nữ,Công nhân,Đã kết hôn
457,458,27,Nữ,Công nhân,Độc thân
458,459,30,Nữ,Công việc tự do,Độc thân
459,460,23,Nam,Sinh viên,Đã kết hôn
460,461,27,Nữ,Công nhân,Đã kết hôn
461,462,27,Nam,Công nhân,Độc thân
462,463,23,Nam,Công chức,Đã kết hôn
463,464,18,Nữ,Công việc tự do,Độc thân
464,465,21,Nam,Công nhân,Độc thân
465,466,27,Nữ,Kinh doanh,Độc thân
466,467,23,Nam,Sinh viên,Độc thân
467,468,23,Nữ,Kinh doanh,Đã kết hôn
468,469,28,Nam,Nhân viên văn phòng,Độc thân
469,470,29,Nam,Sinh viên,Độc thân
470,471,22,Nữ,Nhân viên văn phòng,Đã kết hôn
471,472,18,Nam,Công chức,Độc thân
472,473,25,Nữ,Thất nghiệp,Độc thân
473,474,22,Nam,Thất nghiệp,Độc thân
474,475,29,Nam,Thất nghiệp,Độc thân
475,476,29,Nam,Công nhân,Đã kết hôn
476,477,29,Nữ,Công việc tự do,Độc thân
477,478,22,Nữ,Kinh doanh,Độc thân
478,479,24,Nữ,Nhân viên văn phòng,Đã kết hôn
479,480,21,Nữ,Công nhân,Độc thân
480,481,23,Nữ,Thất nghiệp,Độc thân
481,482,30,Nam,Kinh doanh,Đã kết hôn
482,483,21,Nam,Kinh doanh,Độc thân
483,484,20,Nữ,Công chức,Độc thân
484,485,24,Nam,Công chức,Độc thân
485,486,25,Nam,Thất nghiệp,Độc thân
486,487,21,Nam,Nhân viên văn phòng,Độc thân
487,488,30,Nam,Thất nghiệp,Độc thân
488,489,19,Nữ,Thất nghiệp,Đã kết hôn
489,490,29,Nam,Công nhân,Độc thân
490,491,27,Nữ,Công việc tự do,Độc thân
491,492,20,Nữ,Thất nghiệp,Đã kết hôn
492,493,18,Nam,Nhân viên văn phòng,Độc thân
493,494,25,Nữ,Kinh doanh,Đã kết hôn
494,495,20,Nam,Kinh doanh,Độc thân
495,496,29,Nam,Sinh viên,Độc thân
496,497,27,Nam,Thất nghiệp,Đã kết hôn
497,498,24,Nữ,Công nhân,Độc thân
498,499,27,Nữ,Sinh viên,Khác
499,500,22,Nữ,Công chức,Độc thân
500,501,27,Nam,Công việc tự do,Độc thân
501,502,22,Nam,Nhân viên văn phòng,Độc thân
502,503,24,Nam,Thất nghiệp,Độc thân
503,504,26,Nữ,Kinh doanh,Đã kết hôn
504,505,29,Nam,Công nhân,Độc thân
505,506,22,Nam,Kinh doanh,Đã kết hôn
506,507,18,Nữ,Thất nghiệp,Độc thân
507,508,27,Nữ,Công chức,Độc thân
508,509,27,Nữ,Sinh viên,Độc thân
509,510,18,Nam,Thất nghiệp,Độc thân
510,511,19,Nam,Sinh viên,Độc thân
511,512,23,Nam,Nhân viên văn phòng,Độc thân
512,513,26,Nữ,Công nhân,Độc thân
513,514,25,Nữ,Công chức,Đã kết hôn
514,515,30,Nữ,Công nhân,Đã kết hôn
515,516,22,Nữ,Nhân viên văn phòng,Độc thân
516,517,18,Nam,Công chức,Độc thân
517,518,30,Nam,Công chức,Độc thân
518,519,24,Nam,Sinh viên,Độc thân
519,520,22,Nam,Sinh viên,Độc thân
520,521,23,Nam,Sinh viên,Độc thân
521,522,30,Nam,Kinh doanh,Đã kết hôn
522,523,24,Nam,Công việc tự do,Độc thân
523,524,20,Nam,Thất nghiệp,Độc thân
524,525,29,Nữ,Sinh viên,Độc thân
525,526,27,Nữ,Công việc tự do,Đã kết hôn
526,527,20,Nam,Công việc tự do,Độc thân
527,528,22,Nữ,Công nhân,Đã kết hôn
528,529,23,Nam,Nhân viên văn phòng,Khác
529,530,26,Nam,Kinh doanh,Đã kết hôn
530,531,30,Nữ,Công việc tự do,Khác
531,532,29,Nam,Thất nghiệp,Độc thân
532,533,22,Nam,Kinh doanh,Độc thân
533,534,18,Nam,Công nhân,Độc thân
534,535,21,Nam,Sinh viên,Độc thân
535,536,22,Nam,Công chức,Độc thân
536,537,29,Nam,Công việc tự do,Độc thân
537,538,27,Nam,Nhân viên văn phòng,Độc thân
538,539,27,Nữ,Công chức,Đã kết hôn
539,540,22,Nữ,Công nhân,Độc thân
540,541,24,Nam,Kinh doanh,Độc thân
541,542,21,Nữ,Thất nghiệp,Khác
542,543,18,Nam,Sinh viên,Độc thân
543,544,22,Nam,Kinh doanh,Đã kết hôn
544,545,24,Nam,Nhân viên văn phòng,Đã kết hôn
545,546,27,Nam,Công việc tự do,Độc thân
546,547,27,Nữ,Nhân viên văn phòng,Độc thân
547,548,23,Nữ,Kinh doanh,Độc thân
548,549,22,Nữ,Kinh doanh,Đã kết hôn
549,550,21,Nữ,Công chức,Độc thân
550,551,19,Nam,Nhân viên văn phòng,Độc thân
551,552,21,Nữ,Nhân viên văn phòng,Đã kết hôn
552,553,27,Nam,Nhân viên văn phòng,Độc thân
553,554,27,Nam,Sinh viên,Đã kết hôn
554,555,20,Nữ,Thất nghiệp,Đã kết hôn
555,556,27,Nam,Kinh doanh,Đã kết hôn
