id,booking_code,customer_id,vehicle_id,scheduled_at,status,service_amount,reward_point_earned,reward_point_redeemed,promotion_id,hour_of_day,day_of_week,day_name,tier_rule_id,tier_code,wash_count,lifetime_spend
1478,FK230805004300271,128,168,1691227080,COMPLETED,50000.00,5,0,,16,7,Saturday,2,SILVER,19,1200000.00
2436,FK230805011000167,195,235,1691246700,COMPLETED,50000.00,5,0,,21,7,Saturday,3,GOLD,28,1770000.00
1363,FK230805003500041,120,160,1691258340,COMPLETED,80000.00,8,0,,0,1,Sunday,2,SILVER,23,1290000.00
1141,FK230808001800119,103,143,1691479320,CANCELLED,50000.00,0,0,,14,3,Tuesday,2,SILVER,22,1340000.00
1773,FK230812006301172,148,188,1691824800,COMPLETED,80000.00,8,0,,14,7,Saturday,3,GOLD,32,2250000.00
1774,FK230812006301254,148,188,1691824860,CANCELLED,50000.00,0,0,,14,7,Saturday,3,GOLD,32,2250000.00
2741,FK230812013100181,216,256,1691830860,COMPLETED,30000.00,3,0,,16,7,Saturday,2,SILVER,16,930000.00
3145,FK230812015300085,238,278,1691843760,COMPLETED,80000.00,8,0,,19,7,Saturday,2,SILVER,12,600000.00
3004,FK230812014200071,227,267,1691852580,COMPLETED,30000.00,3,0,,22,7,Saturday,1,MEMBER,6,220000.00
2009,FK230812008000381,165,205,1691859720,COMPLETED,80000.00,8,0,,0,1,Sunday,2,SILVER,20,1250000.00
1846,FK230813006500142,150,190,1691935380,COMPLETED,50000.00,5,0,,21,1,Sunday,2,SILVER,14,890000.00
3036,FK230816014600026,231,271,1692167040,COMPLETED,80000.00,8,0,,13,4,Wednesday,3,GOLD,36,2480000.00
2437,FK230816011000276,195,235,1692207960,COMPLETED,50000.00,5,0,,0,5,Thursday,3,GOLD,28,1770000.00
1607,FK230818005400060,139,179,1692349440,COMPLETED,50000.00,5,0,,16,6,Friday,1,MEMBER,7,360000.00
953,FK230819000600021,91,131,1692421320,CONFIRMED,80000.00,0,0,,12,7,Saturday,2,SILVER,12,600000.00
3530,FK230819017900211,264,304,1692433560,COMPLETED,50000.00,5,0,,15,7,Saturday,2,SILVER,15,1110000.00
2034,FK230819008200412,167,207,1692436740,COMPLETED,80000.00,8,0,,16,7,Saturday,3,GOLD,25,1670000.00
1775,FK230819006301397,148,188,1692459120,COMPLETED,80000.00,8,0,,22,7,Saturday,3,GOLD,32,2250000.00
1173,FK230819002000080,105,145,1692460080,COMPLETED,80000.00,8,0,,22,7,Saturday,1,MEMBER,9,440000.00
1364,FK230819003500195,120,160,1692460440,COMPLETED,50000.00,5,0,,22,7,Saturday,2,SILVER,23,1290000.00
2742,FK230820013100299,216,256,1692526380,COMPLETED,80000.00,8,0,,17,1,Sunday,2,SILVER,16,930000.00
3037,FK230822014600174,231,271,1692686700,COMPLETED,80000.00,8,0,,13,3,Tuesday,3,GOLD,36,2480000.00
1479,FK230823004300344,128,168,1692797160,COMPLETED,50000.00,5,0,,20,4,Wednesday,2,SILVER,19,1200000.00
3531,FK230826017900335,264,304,1693026960,CANCELLED,80000.00,0,0,,12,7,Saturday,2,SILVER,15,1110000.00
2010,FK230826008000474,165,205,1693030920,COMPLETED,80000.00,8,0,,13,7,Saturday,2,SILVER,20,1250000.00
1136,FK230826001700042,102,142,1693040940,CANCELLED,50000.00,0,0,,16,7,Saturday,1,MEMBER,2,60000.00
2466,FK230826011100242,196,236,1693062480,COMPLETED,50000.00,5,0,,22,7,Saturday,2,SILVER,15,810000.00
2599,FK230826011800054,203,243,1693070580,COMPLETED,80000.00,8,0,,0,1,Sunday,3,GOLD,35,2460000.00
1142,FK230827001800284,103,143,1693147680,COMPLETED,80000.00,8,0,,21,1,Sunday,2,SILVER,22,1340000.00
2035,FK230830008200587,167,207,1693381020,COMPLETED,50000.00,5,0,,14,4,Wednesday,3,GOLD,25,1670000.00
1480,FK230830004300481,128,168,1693400520,COMPLETED,80000.00,8,0,,20,4,Wednesday,2,SILVER,19,1200000.00
2743,FK230901013100349,216,256,1693546920,COMPLETED,50000.00,5,0,,12,6,Friday,2,SILVER,16,930000.00
1524,FK230901004700183,132,172,1693557900,COMPLETED,80000.00,8,0,,15,6,Friday,1,MEMBER,10,490000.00
1174,FK230901002000158,105,145,1693582440,COMPLETED,30000.00,3,0,,22,6,Friday,1,MEMBER,9,440000.00
1608,FK230902005400130,139,179,1693637520,COMPLETED,50000.00,5,0,,13,7,Saturday,1,MEMBER,7,360000.00
2011,FK230902008000547,165,205,1693640880,COMPLETED,80000.00,8,0,,14,7,Saturday,2,SILVER,20,1250000.00
3038,FK230902014600262,231,271,1693645680,COMPLETED,80000.00,8,0,,16,7,Saturday,3,GOLD,36,2480000.00
1776,FK230902006301466,148,188,1693656360,COMPLETED,80000.00,8,0,,19,7,Saturday,3,GOLD,32,2250000.00
2082,FK230902008700086,172,212,1693657560,CANCELLED,30000.00,0,0,,19,7,Saturday,1,MEMBER,3,110000.00
2600,FK230902011800190,203,243,1693668000,COMPLETED,80000.00,8,0,,22,7,Saturday,3,GOLD,35,2460000.00
2601,FK230902011800225,203,243,1693668840,COMPLETED,80000.00,8,0,,22,7,Saturday,3,GOLD,35,2460000.00
1847,FK230902006500215,150,190,1693673520,COMPLETED,80000.00,8,0,,23,7,Saturday,2,SILVER,14,890000.00
2280,FK230903010200014,187,227,1693723020,COMPLETED,30000.00,3,0,,13,1,Sunday,4,PLATINUM,45,3160000.00
2438,FK230903011000342,195,235,1693753260,COMPLETED,80000.00,8,0,,22,1,Sunday,3,GOLD,28,1770000.00
1365,FK230903003500281,120,160,1693754340,CANCELLED,50000.00,0,0,,22,1,Sunday,2,SILVER,23,1290000.00
1777,FK230905006301531,148,188,1693926600,COMPLETED,80000.00,8,0,,22,3,Tuesday,3,GOLD,32,2250000.00
1143,FK230908001800328,103,143,1694155440,COMPLETED,80000.00,8,0,,13,6,Friday,2,SILVER,22,1340000.00
1481,FK230908004300582,128,168,1694176500,COMPLETED,80000.00,8,0,,19,6,Friday,2,SILVER,19,1200000.00
3092,FK230909015100046,236,276,1694240160,COMPLETED,80000.00,8,0,,13,7,Saturday,2,SILVER,19,1100000.00
2974,FK230909014100024,226,266,1694241720,COMPLETED,50000.00,5,0,,13,7,Saturday,3,GOLD,27,1600000.00
1778,FK230909006301679,148,188,1694248320,CONFIRMED,80000.00,0,0,,15,7,Saturday,3,GOLD,32,2250000.00
2688,FK230909012500019,210,250,1694278800,COMPLETED,50000.00,5,0,,0,1,Sunday,2,SILVER,13,710000.00
2012,FK230910008000636,165,205,1694339040,COMPLETED,80000.00,8,0,,16,1,Sunday,2,SILVER,20,1250000.00
3146,FK230911015300177,238,278,1694432940,COMPLETED,50000.00,5,0,,18,2,Monday,2,SILVER,12,600000.00
2467,FK230912011100311,196,236,1694496180,COMPLETED,80000.00,8,0,,12,3,Tuesday,2,SILVER,15,810000.00
3005,FK230912014200137,227,267,1694527200,CANCELLED,50000.00,0,0,,21,3,Tuesday,1,MEMBER,6,220000.00
3019,FK230913014400066,229,269,1694621700,COMPLETED,50000.00,5,0,,23,4,Wednesday,2,SILVER,10,590000.00
3532,FK230914017900421,264,304,1694682660,PENDING,80000.00,0,0,,16,5,Thursday,2,SILVER,15,1110000.00
954,FK230914000600165,91,131,1694697360,COMPLETED,50000.00,5,0,,20,5,Thursday,2,SILVER,12,600000.00
1848,FK230915006500399,150,190,1694755260,PENDING,50000.00,0,0,,12,6,Friday,2,SILVER,14,890000.00
2481,FK230916011200098,197,237,1694844180,CANCELLED,30000.00,0,0,,13,7,Saturday,1,MEMBER,3,110000.00
2036,FK230916008200692,167,207,1694855220,COMPLETED,50000.00,5,0,,16,7,Saturday,3,GOLD,25,1670000.00
1779,FK230916006301712,148,188,1694859240,COMPLETED,80000.00,8,0,,17,7,Saturday,3,GOLD,32,2250000.00
2975,FK230916014100164,226,266,1694860620,COMPLETED,50000.00,5,0,,17,7,Saturday,3,GOLD,27,1600000.00
2060,FK230916008300092,168,208,1694862600,PENDING,30000.00,0,0,,18,7,Saturday,1,MEMBER,2,60000.00
2281,FK230916010200197,187,227,1694863800,COMPLETED,50000.00,5,0,,18,7,Saturday,4,PLATINUM,45,3160000.00
2744,FK230916013100415,216,256,1694866200,CANCELLED,80000.00,0,0,,19,7,Saturday,2,SILVER,16,930000.00
2488,FK230916011300020,198,238,1694875560,COMPLETED,80000.00,8,0,,21,7,Saturday,2,SILVER,9,560000.00
1300,FK230916003100027,116,156,1694878500,COMPLETED,80000.00,8,0,,22,7,Saturday,2,SILVER,23,1380000.00
2602,FK230916011800397,203,243,1694881380,COMPLETED,80000.00,8,0,,23,7,Saturday,3,GOLD,35,2460000.00
3635,FK230916018600021,271,311,1694883000,COMPLETED,80000.00,8,0,,23,7,Saturday,3,GOLD,30,1950000.00
2282,FK230916010200279,187,227,1694883600,COMPLETED,80000.00,8,0,,0,1,Sunday,4,PLATINUM,45,3160000.00
3039,FK230916014600396,231,271,1694884500,COMPLETED,80000.00,8,0,,0,1,Sunday,3,GOLD,36,2480000.00
1482,FK230919004300676,128,168,1695103440,COMPLETED,80000.00,8,0,,13,3,Tuesday,2,SILVER,19,1200000.00
2063,FK230919008400065,169,209,1695143760,COMPLETED,30000.00,3,0,,0,4,Wednesday,1,MEMBER,9,410000.00
2013,FK230920008000766,165,205,1695229020,COMPLETED,80000.00,8,0,,23,4,Wednesday,2,SILVER,20,1250000.00
2603,FK230922011800430,203,243,1695402780,PENDING,80000.00,0,0,,0,7,Saturday,3,GOLD,35,2460000.00
2283,FK230923010200335,187,227,1695446460,COMPLETED,80000.00,8,0,,12,7,Saturday,4,PLATINUM,45,3160000.00
1004,FK230923001100157,96,136,1695462060,COMPLETED,80000.00,8,0,,16,7,Saturday,4,PLATINUM,42,3070000.00
1525,FK230923004700277,132,172,1695468120,COMPLETED,80000.00,8,0,,18,7,Saturday,1,MEMBER,10,490000.00
1003,FK230923001100051,96,136,1695476160,COMPLETED,80000.00,8,0,,20,7,Saturday,4,PLATINUM,42,3070000.00
3636,FK230923018600131,271,311,1695476700,COMPLETED,80000.00,8,0,,20,7,Saturday,3,GOLD,30,1950000.00
1780,FK230923006301862,148,188,1695477180,CONFIRMED,80000.00,0,0,,20,7,Saturday,3,GOLD,32,2250000.00
1175,FK230923002000223,105,145,1695482100,COMPLETED,50000.00,5,0,,22,7,Saturday,1,MEMBER,9,440000.00
2838,FK230923013500065,220,260,1695482640,CANCELLED,30000.00,0,0,,22,7,Saturday,1,MEMBER,2,60000.00
3040,FK230923014600482,231,271,1695486660,PENDING,80000.00,0,0,,23,7,Saturday,3,GOLD,36,2480000.00
2439,FK230923011000452,195,235,1695489960,COMPLETED,80000.00,8,0,,0,1,Sunday,3,GOLD,28,1770000.00
1366,FK230923003500367,120,160,1695490980,COMPLETED,80000.00,8,0,,0,1,Sunday,2,SILVER,23,1290000.00
1609,FK230924005400293,139,179,1695548520,COMPLETED,50000.00,5,0,,16,1,Sunday,1,MEMBER,7,360000.00
1144,FK230925001800489,103,143,1695643260,COMPLETED,80000.00,8,0,,19,2,Monday,2,SILVER,22,1340000.00
2284,FK230925010200480,187,227,1695660660,COMPLETED,80000.00,8,0,,23,2,Monday,4,PLATINUM,45,3160000.00
3041,FK230926014600539,231,271,1695710760,COMPLETED,50000.00,5,0,,13,3,Tuesday,3,GOLD,36,2480000.00
1849,FK230926006500451,150,190,1695749820,COMPLETED,80000.00,8,0,,0,4,Wednesday,2,SILVER,14,890000.00
2976,FK230928014100265,226,266,1695888060,COMPLETED,80000.00,8,0,,15,5,Thursday,3,GOLD,27,1600000.00
2664,FK230929012100033,206,246,1695985620,COMPLETED,30000.00,3,0,,18,6,Friday,1,MEMBER,7,230000.00
2037,FK230930008200731,167,207,1696055700,COMPLETED,80000.00,8,0,,13,7,Saturday,3,GOLD,25,1670000.00
2745,FK230930013100564,216,256,1696056420,COMPLETED,80000.00,8,0,,13,7,Saturday,2,SILVER,16,930000.00
3093,FK230930015100123,236,276,1696056840,COMPLETED,50000.00,5,0,,13,7,Saturday,2,SILVER,19,1100000.00
2014,FK230930008000878,165,205,1696063440,COMPLETED,50000.00,5,0,,15,7,Saturday,2,SILVER,20,1250000.00
1367,FK230930003500466,120,160,1696065480,COMPLETED,80000.00,8,0,,16,7,Saturday,2,SILVER,23,1290000.00
2285,FK230930010200583,187,227,1696071360,COMPLETED,50000.00,5,0,,17,7,Saturday,4,PLATINUM,45,3160000.00
3084,FK230930014900021,234,274,1696074480,COMPLETED,30000.00,3,0,,18,7,Saturday,1,MEMBER,5,170000.00
1781,FK230930006301985,148,188,1696082640,COMPLETED,80000.00,8,0,,21,7,Saturday,3,GOLD,32,2250000.00
2604,FK230930011800540,203,243,1696087740,COMPLETED,80000.00,8,0,,22,7,Saturday,3,GOLD,35,2460000.00
2440,FK230930011000557,195,235,1696088400,COMPLETED,80000.00,8,0,,22,7,Saturday,3,GOLD,28,1770000.00
1005,FK231001001100216,96,136,1696150380,COMPLETED,80000.00,8,0,,15,1,Sunday,4,PLATINUM,42,3070000.00
3533,FK231002017900596,264,304,1696240920,PENDING,50000.00,0,0,,17,2,Monday,2,SILVER,15,1110000.00
3637,FK231003018600254,271,311,1696310280,COMPLETED,50000.00,5,0,,12,3,Tuesday,3,GOLD,30,1950000.00
2605,FK231003011800623,203,243,1696323180,COMPLETED,80000.00,8,0,,15,3,Tuesday,3,GOLD,35,2460000.00
1499,FK231003004400067,129,169,1696326240,CANCELLED,30000.00,0,0,,16,3,Tuesday,1,MEMBER,5,240000.00
2286,FK231003010200696,187,227,1696345560,COMPLETED,50000.00,5,0,,22,3,Tuesday,4,PLATINUM,45,3160000.00
1301,FK231003003100137,116,156,1696348680,CANCELLED,80000.00,0,0,,22,3,Tuesday,2,SILVER,23,1380000.00
3208,FK231004015900030,244,284,1696400220,COMPLETED,50000.00,5,0,,13,4,Wednesday,3,GOLD,29,1990000.00
2064,FK231005008400161,169,209,1696494060,COMPLETED,30000.00,3,0,,15,5,Thursday,1,MEMBER,9,410000.00
1782,FK231006006302021,148,188,1696612020,COMPLETED,80000.00,8,0,,0,7,Saturday,3,GOLD,32,2250000.00
955,FK231007000600284,91,131,1696660140,COMPLETED,50000.00,5,0,,13,7,Saturday,2,SILVER,12,600000.00
3042,FK231007014600629,231,271,1696662840,COMPLETED,50000.00,5,0,,14,7,Saturday,3,GOLD,36,2480000.00
2429,FK231007010900037,194,234,1696668540,COMPLETED,30000.00,3,0,,15,7,Saturday,1,MEMBER,4,120000.00
1006,FK231007001100343,96,136,1696691520,COMPLETED,80000.00,8,0,,22,7,Saturday,4,PLATINUM,42,3070000.00
1483,FK231007004300715,128,168,1696694220,COMPLETED,50000.00,5,0,,22,7,Saturday,2,SILVER,19,1200000.00
3043,FK231008014600747,231,271,1696760940,COMPLETED,80000.00,8,0,,17,1,Sunday,3,GOLD,36,2480000.00
3209,FK231008015900114,244,284,1696778700,COMPLETED,80000.00,8,0,,22,1,Sunday,3,GOLD,29,1990000.00
1368,FK231009003500531,120,160,1696870380,COMPLETED,50000.00,5,0,,23,2,Monday,2,SILVER,23,1290000.00
2689,FK231009012500191,210,250,1696872600,COMPLETED,50000.00,5,0,,0,3,Tuesday,2,SILVER,13,710000.00
1783,FK231010006302181,148,188,1696918800,COMPLETED,50000.00,5,0,,13,3,Tuesday,3,GOLD,32,2250000.00
3734,FK231010019200023,277,317,1696928400,CANCELLED,50000.00,0,0,,16,3,Tuesday,2,SILVER,16,960000.00
3665,FK231010018700084,272,312,1696956180,COMPLETED,50000.00,5,0,,23,3,Tuesday,1,MEMBER,3,130000.00
1007,FK231011001100462,96,136,1697004600,COMPLETED,80000.00,8,0,,13,4,Wednesday,4,PLATINUM,42,3070000.00
2015,FK231011008000977,165,205,1697010000,COMPLETED,50000.00,5,0,,14,4,Wednesday,2,SILVER,20,1250000.00
3006,FK231013014200266,227,267,1697201820,COMPLETED,30000.00,3,0,,19,6,Friday,1,MEMBER,6,220000.00
1145,FK231013001800582,103,143,1697205120,COMPLETED,80000.00,8,0,,20,6,Friday,2,SILVER,22,1340000.00
3020,FK231014014400161,229,269,1697266680,COMPLETED,80000.00,8,0,,13,7,Saturday,2,SILVER,10,590000.00
3074,FK231014014700025,232,272,1697268720,COMPLETED,30000.00,3,0,,14,7,Saturday,1,MEMBER,4,160000.00
3044,FK231014014600822,231,271,1697272320,COMPLETED,80000.00,8,0,,15,7,Saturday,3,GOLD,36,2480000.00
3210,FK231014015900219,244,284,1697273460,COMPLETED,50000.00,5,0,,15,7,Saturday,3,GOLD,29,1990000.00
2489,FK231014011300146,198,238,1697274000,COMPLETED,80000.00,8,0,,16,7,Saturday,2,SILVER,9,560000.00
2606,FK231014011800717,203,243,1697296800,COMPLETED,80000.00,8,0,,22,7,Saturday,3,GOLD,35,2460000.00
1850,FK231014006500563,150,190,1697297040,COMPLETED,80000.00,8,0,,22,7,Saturday,2,SILVER,14,890000.00
3094,FK231014015100231,236,276,1697301420,COMPLETED,30000.00,3,0,,23,7,Saturday,2,SILVER,19,1100000.00
2287,FK231014010200731,187,227,1697302500,COMPLETED,80000.00,8,0,,23,7,Saturday,4,PLATINUM,45,3160000.00
3638,FK231014018600384,271,311,1697304360,COMPLETED,50000.00,5,0,,0,1,Sunday,3,GOLD,30,1950000.00
2468,FK231015011100495,196,236,1697346120,COMPLETED,80000.00,8,0,,12,1,Sunday,2,SILVER,15,810000.00
2288,FK231015010200888,187,227,1697346240,COMPLETED,80000.00,8,0,,12,1,Sunday,4,PLATINUM,45,3160000.00
1784,FK231015006302211,148,188,1697355420,COMPLETED,50000.00,5,0,,14,1,Sunday,3,GOLD,32,2250000.00
3147,FK231015015300273,238,278,1697362200,COMPLETED,50000.00,5,0,,16,1,Sunday,2,SILVER,12,600000.00
2746,FK231015013100632,216,256,1697383380,COMPLETED,50000.00,5,0,,22,1,Sunday,2,SILVER,16,930000.00
1302,FK231017003100263,116,156,1697549100,COMPLETED,80000.00,8,0,,20,3,Tuesday,2,SILVER,23,1380000.00
3735,FK231017019200110,277,317,1697557080,COMPLETED,80000.00,8,0,,22,3,Tuesday,2,SILVER,16,960000.00
2637,FK231017011900092,204,244,1697558580,COMPLETED,80000.00,8,0,,23,3,Tuesday,2,SILVER,22,1190000.00
1526,FK231018004700374,132,172,1697633100,COMPLETED,30000.00,3,0,,19,4,Wednesday,1,MEMBER,10,490000.00
1535,FK231018004800064,133,173,1697638800,COMPLETED,50000.00,5,0,,21,4,Wednesday,2,SILVER,11,540000.00
2289,FK231019010200940,187,227,1697694120,COMPLETED,80000.00,8,0,,12,5,Thursday,4,PLATINUM,45,3160000.00
3440,FK231020017300075,258,298,1697817360,COMPLETED,50000.00,5,0,,22,6,Friday,2,SILVER,12,610000.00
2607,FK231020011800845,203,243,1697820000,COMPLETED,80000.00,8,0,,23,6,Friday,3,GOLD,35,2460000.00
2441,FK231021011000679,195,235,1697867700,COMPLETED,50000.00,5,0,,12,7,Saturday,3,GOLD,28,1770000.00
2038,FK231021008200888,167,207,1697872320,COMPLETED,50000.00,5,0,,14,7,Saturday,3,GOLD,25,1670000.00
2977,FK231021014100357,226,266,1697873640,COMPLETED,80000.00,8,0,,14,7,Saturday,3,GOLD,27,1600000.00
1327,FK231021003200034,117,157,1697880780,COMPLETED,30000.00,3,0,,16,7,Saturday,1,MEMBER,3,90000.00
3045,FK231021014600953,231,271,1697884080,COMPLETED,80000.00,8,0,,17,7,Saturday,3,GOLD,36,2480000.00
3211,FK231021015900333,244,284,1697902920,COMPLETED,50000.00,5,0,,22,7,Saturday,3,GOLD,29,1990000.00
1610,FK231021005400318,139,179,1697904480,CONFIRMED,80000.00,0,0,,23,7,Saturday,1,MEMBER,7,360000.00
1008,FK231021001100546,96,136,1697909160,COMPLETED,50000.00,5,0,,0,1,Sunday,4,PLATINUM,42,3070000.00
1484,FK231021004300824,128,168,1697909940,CONFIRMED,30000.00,0,0,,0,1,Sunday,2,SILVER,19,1200000.00
1785,FK231021006302352,148,188,1697910840,COMPLETED,80000.00,8,0,,0,1,Sunday,3,GOLD,32,2250000.00
3534,FK231022017900615,264,304,1697975520,COMPLETED,80000.00,8,0,,18,1,Sunday,2,SILVER,15,1110000.00
2174,FK231022009300015,178,218,1697994300,COMPLETED,80000.00,8,0,,0,2,Monday,2,SILVER,16,940000.00
3212,FK231023015900424,244,284,1698044400,PENDING,80000.00,0,0,,14,2,Monday,3,GOLD,29,1990000.00
2016,FK231024008001032,165,205,1698132420,COMPLETED,50000.00,5,0,,14,3,Tuesday,2,SILVER,20,1250000.00
1851,FK231024006500677,150,190,1698167700,CONFIRMED,80000.00,0,0,,0,4,Wednesday,2,SILVER,14,890000.00
1303,FK231025003100380,116,156,1698242100,COMPLETED,80000.00,8,0,,20,4,Wednesday,2,SILVER,23,1380000.00
1369,FK231027003500691,120,160,1698394920,COMPLETED,50000.00,5,0,,15,6,Friday,2,SILVER,23,1290000.00
1485,FK231028004300931,128,168,1698469320,CANCELLED,50000.00,0,0,,12,7,Saturday,2,SILVER,19,1200000.00
2608,FK231028011800967,203,243,1698473460,COMPLETED,50000.00,5,0,,13,7,Saturday,3,GOLD,35,2460000.00
2290,FK231028010201053,187,227,1698481860,COMPLETED,80000.00,8,0,,15,7,Saturday,4,PLATINUM,45,3160000.00
3095,FK231028015100380,236,276,1698487020,COMPLETED,50000.00,5,0,,16,7,Saturday,2,SILVER,19,1100000.00
2039,FK231028008200939,167,207,1698489480,COMPLETED,80000.00,8,0,,17,7,Saturday,3,GOLD,25,1670000.00
1009,FK231028001100666,96,136,1698493260,COMPLETED,80000.00,8,0,,18,7,Saturday,4,PLATINUM,42,3070000.00
1176,FK231028002000359,105,145,1698499920,COMPLETED,50000.00,5,0,,20,7,Saturday,1,MEMBER,9,440000.00
2690,FK231028012500292,210,250,1698500700,COMPLETED,50000.00,5,0,,20,7,Saturday,2,SILVER,13,710000.00
3639,FK231028018600437,271,311,1698510960,COMPLETED,50000.00,5,0,,23,7,Saturday,3,GOLD,30,1950000.00
3047,FK231028014601110,231,271,1698512160,COMPLETED,80000.00,8,0,,23,7,Saturday,3,GOLD,36,2480000.00
2978,FK231028014100413,226,266,1698512520,COMPLETED,30000.00,3,0,,0,1,Sunday,3,GOLD,27,1600000.00
3046,FK231028014601012,231,271,1698513060,COMPLETED,80000.00,8,0,,0,1,Sunday,3,GOLD,36,2480000.00
1786,FK231029006302488,148,188,1698562800,COMPLETED,50000.00,5,0,,14,1,Sunday,3,GOLD,32,2250000.00
956,FK231029000600371,91,131,1698597240,COMPLETED,30000.00,3,0,,23,1,Sunday,2,SILVER,12,600000.00
2442,FK231029011000778,195,235,1698599820,COMPLETED,80000.00,8,0,,0,2,Monday,3,GOLD,28,1770000.00
3535,FK231031017900777,264,304,1698740040,COMPLETED,80000.00,8,0,,15,3,Tuesday,2,SILVER,15,1110000.00
2747,FK231031013100782,216,256,1698743400,COMPLETED,30000.00,3,0,,16,3,Tuesday,2,SILVER,16,930000.00
2638,FK231031011900182,204,244,1698750120,COMPLETED,50000.00,5,0,,18,3,Tuesday,2,SILVER,22,1190000.00
2490,FK231101011300259,198,238,1698836220,COMPLETED,80000.00,8,0,,17,4,Wednesday,2,SILVER,9,560000.00
1137,FK231101001700161,102,142,1698861240,COMPLETED,30000.00,3,0,,0,5,Thursday,1,MEMBER,2,60000.00
1787,FK231102006302580,148,188,1698906480,CONFIRMED,80000.00,0,0,,13,5,Thursday,3,GOLD,32,2250000.00
1304,FK231102003100434,116,156,1698911400,COMPLETED,80000.00,8,0,,14,5,Thursday,2,SILVER,23,1380000.00
2469,FK231103011100535,196,236,1699036020,COMPLETED,50000.00,5,0,,1,7,Saturday,2,SILVER,15,810000.00
3213,FK231104015900542,244,284,1699085820,COMPLETED,80000.00,8,0,,15,7,Saturday,3,GOLD,29,1990000.00
2609,FK231104011801099,203,243,1699090920,COMPLETED,80000.00,8,0,,16,7,Saturday,3,GOLD,35,2460000.00
3007,FK231104014200341,227,267,1699098000,CANCELLED,30000.00,0,0,,18,7,Saturday,1,MEMBER,6,220000.00
